Esfuerzo[kN],Deformacion[mm]
0,0.0
5,0.1
10,0.1
15,0.2
20,0.3
25,0.3
30,0.4
35,0.5
40,0.5
45,0.6
50,0.7
55,0.7
60,0.8
65,0.9
70,0.9
75,1.0
80,1.1
85,1.1
90,1.2
95,1.3
100,1.3
105,1.4
110,1.5
115,1.5
120,1.6
125,1.7
130,1.7
135,1.8
140,1.9
145,1.9
150,2.0
155,2.1
160,2.1
165,2.2
170,2.3
175,2.3
180,2.4
185,2.5
190,2.5
195,2.6
200,2.7
205,2.7
210,2.8
215,2.9
220,2.9
225,3.0
230,3.1
235,3.1
240,3.2
245,3.3
250,3.3
255,3.4
260,3.5
265,3.5
270,3.6
275,3.7
280,3.7
285,3.8
290,3.9
295,3.9
300,4.0
305,4.1
310,4.1
315,4.2
320,4.3
325,4.3
330,4.4
335,4.5
340,4.5
345,4.6
350,4.7
355,4.7
360,4.8
365,4.9
370,4.9
375,5.0
380,5.1
385,5.1
390,5.2
395,5.3
400,5.3
405,5.4
410,5.5
415,5.5
420,5.6
425,5.7
430,5.7
435,5.8
440,5.9
445,5.9
450,6.0
455,6.1
460,6.1
465,6.2
470,6.3
475,6.3
480,6.4
485,6.5
490,6.5
495,6.6
500,6.7
505,6.7
510,6.8
515,6.9
520,6.9
525,7.0
530,7.1
535,7.1
540,7.2
545,7.3
550,7.3
555,7.4
560,7.5
565,7.5
570,7.6
575,7.7
580,7.7
585,7.8
590,7.9
595,7.9
600,8.0
605,8.1
610,8.1
615,8.2
620,8.3
625,8.3
630,8.4
635,8.5
640,8.5
645,8.6
650,8.7
655,8.7
660,8.8
665,8.9
670,8.9
675,9.0
680,9.1
685,9.1
690,9.2
695,9.3
700,9.3
705,9.4
710,9.5
715,9.5
720,9.6
725,9.7
730,9.7
735,9.8
740,9.9
745,9.9
750,10.0
755,10.1
760,10.1
765,10.2
770,10.3
775,10.3
780,10.4
785,10.5
790,10.5
795,10.6
800,10.7
805,10.7
810,10.8
815,10.9
820,10.9
825,11.0
830,11.1
835,11.1
840,11.2
845,11.3
850,11.3
855,11.4
860,11.5
865,11.5
870,11.6
875,11.7
880,11.7
885,11.8
890,11.9
895,11.9
900,12.0
905,12.1
910,12.1
915,12.2
920,12.3
925,12.3
930,12.4
935,12.5
940,12.5
945,12.6
950,12.7
955,12.7
960,12.8
965,12.9
970,12.9
975,13.0
980,13.1
985,13.1
990,13.2
995,13.3
1000,13.3
1005,13.4
1010,13.5
1015,13.5
1020,13.6
1025,13.7
1030,13.7
1035,13.8
1040,13.9
1045,13.9
1050,14.0
1055,14.1
1060,14.1
1065,14.2
1070,14.3
1075,14.3
1080,14.4
1085,14.5
1090,14.5
1095,14.6
1100,14.7
1105,14.7
1110,14.8
1115,14.9
1120,14.9
1125,15.0
1130,15.1
1135,15.1
1140,15.2
